online_order,book_table,location,approx_cost,category,city,status,stacked_cuisines,stacked_rest_type
Yes,No,South Bangalore,400.0,Dine-out,Banashankari,0,Pizza,Food Truck
No,No,Residency Road,550.0,Delivery,Brigade Road,1,Chinese,Casual Dining
No,Yes,Sarjapur Road,1000.0,Dine-out,Bellandur,1,North Indian,Casual Dining
Yes,Yes,Bannerghatta Road,900.0,Delivery,Basavanagudi,1,Chinese,Casual Dining
Yes,No,Sarjapur Road,600.0,Dine-out,Bellandur,1,Burger,Cafe
Yes,Yes,Lavelle Road,1500.0,Dine-out,Brigade Road,1,Salad,Casual Dining
Yes,Yes,Residency Road,800.0,Cafes,Brigade Road,1,Asian,Casual Dining
Yes,Yes,JP Nagar,600.0,Cafes,Bannerghatta Road,1,Cafe,Casual Dining
Yes,No,Banashankari,800.0,Desserts,Basavanagudi,1,Mexican,Casual Dining
Yes,No,JP Nagar,700.0,Dine-out,Bannerghatta Road,0,Italian,Cafe
Yes,Yes,Bellandur,1800.0,Dine-out,Bellandur,1,Burger,Casual Dining
Yes,No,Ulsoor,800.0,Delivery,Brigade Road,1,Steak,Cafe
Yes,No,Banashankari,250.0,Delivery,Banashankari,0,Momos,Quick Bites
Yes,No,Jayanagar,400.0,Delivery,Basavanagudi,1,Beverages,Cafe
Yes,Yes,Marathahalli,1200.0,Delivery,Bellandur,1,Momos,Pub
Yes,Yes,MG Road,1200.0,Dine-out,Brigade Road,1,Burger,Cafe
Yes,No,Jayanagar,800.0,Delivery,Basavanagudi,1,North Indian,Casual Dining
Yes,Yes,HSR,1300.0,Delivery,Bellandur,1,Continental,Cafe
No,Yes,Brigade Road,1500.0,Dine-out,Brigade Road,1,European,Casual Dining
Yes,No,Jayanagar,650.0,Delivery,Banashankari,1,Italian,Cafe
Yes,Yes,Residency Road,800.0,Cafes,Brigade Road,1,Desserts,Cafe
No,No,Banashankari,450.0,Delivery,Basavanagudi,1,Chinese,Quick Bites
Yes,No,Sarjapur Road,400.0,Delivery,Bellandur,1,North Indian,Delivery
Yes,No,Bellandur,500.0,Delivery,Bellandur,0,Juices,Quick Bites
Yes,No,Jayanagar,500.0,Delivery,Basavanagudi,1,Healthy Food,Casual Dining
Yes,Yes,Sarjapur Road,1400.0,Dine-out,Bellandur,1,Goan,Bar
Yes,Yes,Indiranagar,700.0,Delivery,Brigade Road,1,Continental,Cafe
Yes,Yes,Bannerghatta Road,1200.0,Delivery,Bannerghatta Road,1,North Indian,Casual Dining
Yes,Yes,JP Nagar,1000.0,Delivery,Bannerghatta Road,1,North Indian,Casual Dining
Yes,No,BTM,400.0,Delivery,Basavanagudi,0,North Indian,Quick Bites
Yes,Yes,Jayanagar,650.0,Cafes,Basavanagudi,1,Burger,Cafe
No,No,Jayanagar,200.0,Delivery,Basavanagudi,1,South Indian,Quick Bites
Yes,Yes,Cunningham Road,1100.0,Delivery,Brigade Road,1,Chinese,Casual Dining
Yes,No,Bellandur,450.0,Delivery,Bellandur,0,Chinese,Quick Bites
Yes,No,Banashankari,600.0,Delivery,Banashankari,0,Fast Food,Quick Bites
Yes,No,Jayanagar,250.0,Delivery,Banashankari,0,Beverages,Quick Bites
No,No,Jayanagar,850.0,Cafes,Basavanagudi,1,Healthy Food,Cafe
No,No,Basavanagudi,400.0,Desserts,Banashankari,1,North Indian,Quick Bites
Yes,No,Sarjapur Road,600.0,Dine-out,Bellandur,1,Cafe,Cafe
Yes,Yes,Jayanagar,1200.0,Dine-out,Basavanagudi,1,Chinese,Casual Dining
No,Yes,Banashankari,1300.0,Dine-out,Basavanagudi,1,Finger Food,Lounge
Yes,No,Bellandur,500.0,Delivery,Bellandur,0,Chinese,Casual Dining
Yes,No,Bellandur,600.0,Delivery,Bellandur,0,Cafe,Quick Bites
No,Yes,Jayanagar,1350.0,Dine-out,Basavanagudi,1,Afghani,Casual Dining
Yes,Yes,Jayanagar,1500.0,Dine-out,Basavanagudi,1,Chinese,Casual Dining
Yes,No,JP Nagar,600.0,Dine-out,Bannerghatta Road,1,Italian,Quick Bites
Yes,No,Brigade Road,800.0,Dine-out,Brigade Road,0,Cafe,Cafe
No,Yes,MG Road,2000.0,Dine-out,Brigade Road,1,French,Fine Dining
Yes,No,HSR,500.0,Delivery,Bellandur,1,Ice Cream,Dessert Parlor
Yes,Yes,Marathahalli,750.0,Delivery,Bellandur,1,Biryani,Casual Dining
Yes,No,Ulsoor,500.0,Delivery,Brigade Road,1,Fast Food,Cafe
Yes,No,Basavanagudi,500.0,Cafes,Basavanagudi,1,Desserts,Cafe
Yes,Yes,Bellandur,1400.0,Drinks & nightlife,Bellandur,1,Mexican,Bar
Yes,No,Jayanagar,800.0,Dine-out,Basavanagudi,1,Italian,Casual Dining
Yes,No,Jayanagar,250.0,Delivery,Basavanagudi,0,Beverages,Beverage Shop
No,No,Lavelle Road,1500.0,Dine-out,Brigade Road,1,North Indian,Casual Dining
No,Yes,Brigade Road,1000.0,Buffet,Brigade Road,1,Chinese,Casual Dining
Yes,No,JP Nagar,100.0,Delivery,Bannerghatta Road,1,South Indian,Quick Bites
No,Yes,Jayanagar,1000.0,Drinks & nightlife,Basavanagudi,1,Thai,Bar
No,Yes,Jayanagar,1000.0,Dine-out,Basavanagudi,1,Pizza,Bar
Yes,No,Residency Road,400.0,Cafes,Brigade Road,1,Cafe,Quick Bites
Yes,No,Brigade Road,500.0,Dine-out,Brigade Road,0,Burger,Quick Bites
Yes,No,Basavanagudi,300.0,Dine-out,Banashankari,1,Fast Food,Quick Bites
Yes,No,Basavanagudi,550.0,Dine-out,Basavanagudi,1,North Indian,Casual Dining
Yes,Yes,Ulsoor,1000.0,Dine-out,Brigade Road,1,Mangalorean,Casual Dining
Yes,No,Race Course Road,1500.0,Delivery,Brigade Road,1,Continental,Bar
No,No,Jayanagar,250.0,Dine-out,Basavanagudi,1,North Indian,Quick Bites
Yes,No,Sarjapur Road,500.0,Delivery,Bellandur,1,Burger,Cafe
No,No,Lavelle Road,1200.0,Cafes,Brigade Road,1,Healthy Food,Cafe
No,Yes,Ulsoor,1600.0,Dine-out,Brigade Road,1,Mediterranean,Casual Dining
Yes,No,MG Road,900.0,Desserts,Brigade Road,1,Cafe,Cafe
Yes,Yes,Jayanagar,800.0,Dine-out,Basavanagudi,1,Beverages,Cafe
Yes,Yes,Bellandur,1100.0,Dine-out,Bellandur,1,North Indian,Bar
Yes,No,MG Road,900.0,Desserts,Brigade Road,1,North Indian,Cafe
Yes,Yes,Jayanagar,1200.0,Dine-out,Basavanagudi,1,Continental,Pub
Yes,No,HSR,180.0,Delivery,Bellandur,1,Desserts,Dessert Parlor
Yes,Yes,HSR,1200.0,Delivery,Bellandur,1,Continental,Casual Dining
Yes,No,Basavanagudi,300.0,Dine-out,Basavanagudi,1,Fast Food,Quick Bites
No,Yes,Church Street,1000.0,Dine-out,Brigade Road,1,Chettinad,Casual Dining
Yes,Yes,Brigade Road,800.0,Buffet,Brigade Road,1,Gujarati,Casual Dining
No,No,Bannerghatta Road,150.0,Delivery,Bannerghatta Road,1,Ice Cream,Dessert Parlor
Yes,No,Jayanagar,450.0,Dine-out,Basavanagudi,1,Chinese,Casual Dining
Yes,Yes,Jayanagar,650.0,Cafes,Basavanagudi,1,Desserts,Cafe
Yes,No,Frazer Town,300.0,Delivery,Brigade Road,0,North Indian,Quick Bites
Yes,No,Commercial Street,350.0,Delivery,Brigade Road,1,Beverages,Beverage Shop
Yes,No,Bannerghatta Road,500.0,Delivery,Bannerghatta Road,1,Fast Food,Takeaway
No,Yes,Jayanagar,800.0,Delivery,Basavanagudi,0,Italian,Casual Dining
Yes,No,Basavanagudi,550.0,Dine-out,Banashankari,1,Juices,Casual Dining
Yes,Yes,Sarjapur Road,1300.0,Drinks & nightlife,Bellandur,1,North Indian,Pub
Yes,No,Basavanagudi,200.0,Delivery,Banashankari,1,Street Food,Quick Bites
Yes,No,Bannerghatta Road,250.0,Dine-out,Bannerghatta Road,1,North Indian,Quick Bites
No,No,JP Nagar,1000.0,Delivery,Bannerghatta Road,1,Continental,Bar
No,Yes,Ulsoor,2000.0,Desserts,Brigade Road,1,North Indian,Casual Dining
No,Yes,Shanti Nagar,800.0,Desserts,Brigade Road,1,Continental,Casual Dining
Yes,No,Banashankari,650.0,Dine-out,Basavanagudi,1,Cafe,Cafe
Yes,Yes,Bannerghatta Road,600.0,Delivery,Bannerghatta Road,0,North Indian,Casual Dining
No,No,Basavanagudi,250.0,Dine-out,Basavanagudi,1,Fast Food,Quick Bites
Yes,No,Church Street,650.0,Dine-out,Brigade Road,1,Andhra,Casual Dining
Yes,No,Residency Road,600.0,Dine-out,Brigade Road,1,Seafood,Casual Dining
Yes,Yes,JP Nagar,1000.0,Buffet,Bannerghatta Road,1,BBQ,Casual Dining
Yes,No,Banashankari,150.0,Delivery,Banashankari,0,Pizza,Quick Bites
Yes,No,Bellandur,450.0,Delivery,Bellandur,0,North Indian,Delivery
Yes,No,JP Nagar,400.0,Delivery,Bannerghatta Road,0,Chinese,Quick Bites
No,Yes,JP Nagar,1000.0,Dine-out,Bannerghatta Road,1,North Indian,Casual Dining
Yes,No,Bannerghatta Road,1100.0,Dine-out,Bannerghatta Road,1,Steak,Food Court
Yes,No,Cunningham Road,600.0,Delivery,Brigade Road,1,Steak,Casual Dining
No,No,Lavelle Road,1500.0,Dine-out,Brigade Road,1,Modern Indian,Microbrewery
No,No,Church Street,1100.0,Dine-out,Brigade Road,1,Pizza,Cafe
Yes,Yes,Lavelle Road,1700.0,Dine-out,Brigade Road,1,Continental,Pub
No,Yes,Jayanagar,1000.0,Dine-out,Basavanagudi,1,Chinese,Bar
Yes,Yes,Jayanagar,1200.0,Delivery,Banashankari,1,Thai,Casual Dining
Yes,No,Brigade Road,550.0,Desserts,Brigade Road,1,Fast Food,Quick Bites
Yes,Yes,Marathahalli,1500.0,Dine-out,Bellandur,1,North Indian,Casual Dining
No,Yes,Marathahalli,1500.0,Pubs and bars,Bellandur,1,BBQ,Casual Dining
Yes,Yes,Sarjapur Road,800.0,Delivery,Bellandur,0,North Indian,Casual Dining
Yes,No,Banashankari,600.0,Dine-out,Basavanagudi,0,North Indian,Casual Dining
Yes,Yes,MG Road,1500.0,Dine-out,Brigade Road,1,Burger,Casual Dining
Yes,No,Ulsoor,750.0,Dine-out,Brigade Road,1,Kebab,Casual Dining
No,No,Jayanagar,250.0,Dine-out,Basavanagudi,1,North Indian,Quick Bites
Yes,No,HSR,150.0,Delivery,Bellandur,0,Fast Food,Quick Bites
Yes,No,Banashankari,800.0,Dine-out,Basavanagudi,1,Cafe,Casual Dining
Yes,No,Banashankari,800.0,Cafes,Banashankari,1,Chinese,Cafe
Yes,No,Bannerghatta Road,400.0,Dine-out,Bannerghatta Road,1,Burger,Quick Bites
Yes,No,Jayanagar,400.0,Delivery,Banashankari,1,Chinese,Quick Bites
No,No,Banashankari,450.0,Delivery,Banashankari,1,Italian,Quick Bites
Yes,No,Banashankari,550.0,Dine-out,Banashankari,1,Italian,Cafe
Yes,No,Jayanagar,500.0,Dine-out,Basavanagudi,1,Arabian,Quick Bites
Yes,Yes,JP Nagar,1000.0,Buffet,Bannerghatta Road,1,North Indian,Casual Dining
Yes,Yes,Residency Road,800.0,Dine-out,Brigade Road,1,Healthy Food,Cafe
Yes,No,Sarjapur Road,300.0,Delivery,Bellandur,0,Biryani,Takeaway
Yes,No,Bellandur,900.0,Desserts,Bellandur,0,Desserts,Dessert Parlor
Yes,Yes,Lavelle Road,1700.0,Delivery,Brigade Road,1,Finger Food,Microbrewery
Yes,No,Sarjapur Road,150.0,Dine-out,Bellandur,1,Beverages,Quick Bites
Yes,No,Ulsoor,700.0,Dine-out,Brigade Road,1,Continental,Cafe
Yes,Yes,Brigade Road,1600.0,Delivery,Brigade Road,1,Finger Food,Bar
Yes,No,Richmond Road,450.0,Delivery,Brigade Road,1,North Indian,Delivery
Yes,No,Jayanagar,500.0,Delivery,Basavanagudi,1,Fast Food,Quick Bites
Yes,Yes,Banashankari,600.0,Cafes,Banashankari,1,Cafe,Casual Dining
Yes,Yes,Bannerghatta Road,1000.0,Delivery,Bannerghatta Road,1,North Indian,Casual Dining
No,Yes,Ulsoor,1800.0,Dine-out,Brigade Road,1,Malaysian,Casual Dining
Yes,No,Banashankari,750.0,Dine-out,Basavanagudi,1,Fast Food,Casual Dining
Yes,No,JP Nagar,650.0,Delivery,Bannerghatta Road,0,Mughlai,Casual Dining
Yes,No,Jayanagar,500.0,Delivery,Basavanagudi,1,Bakery,Dessert Parlor
Yes,Yes,Sarjapur Road,1400.0,Delivery,Bellandur,1,Continental,Bar
Yes,No,Banashankari,700.0,Desserts,Banashankari,1,Cafe,Cafe
No,Yes,Sarjapur Road,1500.0,Dine-out,Bellandur,1,Finger Food,Microbrewery
Yes,Yes,Jayanagar,1200.0,Delivery,Basavanagudi,1,Fast Food,Bar
Yes,No,Basavanagudi,600.0,Dine-out,Basavanagudi,1,Fast Food,Quick Bites
Yes,No,Indiranagar,150.0,Delivery,Brigade Road,1,Mithai,Sweet Shop
Yes,Yes,Banashankari,1200.0,Dine-out,Banashankari,1,South Indian,Casual Dining
Yes,No,Bellandur,400.0,Delivery,Bellandur,0,North Indian,Quick Bites
Yes,Yes,Residency Road,800.0,Desserts,Brigade Road,1,Pizza,Casual Dining
Yes,No,Ulsoor,600.0,Delivery,Brigade Road,1,Chettinad,Casual Dining
Yes,Yes,Cunningham Road,1300.0,Desserts,Brigade Road,1,Japanese,Pub
No,Yes,Basavanagudi,1000.0,Dine-out,Basavanagudi,1,Asian,Casual Dining
Yes,Yes,HSR,1800.0,Delivery,Bellandur,1,Mexican,Casual Dining
Yes,No,Basavanagudi,200.0,Dine-out,Basavanagudi,1,Fast Food,Quick Bites
Yes,No,Basavanagudi,600.0,Delivery,Banashankari,0,Beverages,Cafe
Yes,No,Mysore Road,750.0,Delivery,Banashankari,0,Chinese,Casual Dining
Yes,Yes,Sarjapur Road,1400.0,Dine-out,Bellandur,1,North Indian,Casual Dining
Yes,No,Bellandur,450.0,Dine-out,Bellandur,1,Chinese,Quick Bites
Yes,No,Frazer Town,650.0,Delivery,Brigade Road,1,Burger,Delivery
Yes,Yes,Bellandur,1400.0,Buffet,Bellandur,1,Continental,Bar
Yes,Yes,Marathahalli,1500.0,Pubs and bars,Bellandur,1,Japanese,Bar
Yes,Yes,Sarjapur Road,800.0,Delivery,Bellandur,1,BBQ,Casual Dining
Yes,Yes,Jayanagar,700.0,Dine-out,Basavanagudi,1,Modern Indian,Casual Dining
Yes,No,Sarjapur Road,500.0,Dine-out,Bellandur,0,North Indian,Casual Dining
No,No,Jayanagar,400.0,Cafes,Basavanagudi,0,Cafe,Cafe
Yes,No,Jayanagar,400.0,Desserts,Basavanagudi,1,Beverages,Beverage Shop
Yes,No,Jayanagar,300.0,Delivery,Basavanagudi,1,Beverages,Dessert Parlor
Yes,No,Sarjapur Road,250.0,Delivery,Bellandur,0,South Indian,Quick Bites
Yes,No,Jayanagar,750.0,Buffet,Basavanagudi,1,Chinese,Casual Dining
Yes,No,Bellandur,600.0,Dine-out,Bellandur,0,North Indian,Casual Dining
Yes,No,HSR,1400.0,Delivery,Bellandur,1,Mughlai,Bar
Yes,No,Jayanagar,600.0,Dine-out,Basavanagudi,1,Street Food,Casual Dining
No,Yes,Sarjapur Road,1500.0,Dine-out,Bellandur,1,European,Bar
No,Yes,Cunningham Road,1300.0,Buffet,Brigade Road,1,Mediterranean,Lounge
No,Yes,JP Nagar,1000.0,Buffet,Bannerghatta Road,1,Chinese,Casual Dining
No,No,Basavanagudi,400.0,Desserts,Banashankari,1,Street Food,Quick Bites
No,No,Church Street,900.0,Cafes,Brigade Road,1,Continental,Cafe
No,No,Banashankari,450.0,Delivery,Banashankari,1,Italian,Quick Bites
Yes,No,Bannerghatta Road,550.0,Dine-out,Bannerghatta Road,0,North Indian,Casual Dining
Yes,Yes,JP Nagar,1100.0,Dine-out,Bannerghatta Road,1,South American,Casual Dining
Yes,No,Jayanagar,700.0,Delivery,Basavanagudi,0,Biryani,Casual Dining
Yes,Yes,Jayanagar,600.0,Delivery,Basavanagudi,1,North Indian,Casual Dining
Yes,No,Bellandur,500.0,Dine-out,Bellandur,0,Chinese,Casual Dining
No,No,Jayanagar,300.0,Dine-out,Basavanagudi,0,North Indian,Quick Bites
Yes,Yes,Cunningham Road,1300.0,Cafes,Brigade Road,1,Continental,Cafe
Yes,No,JP Nagar,400.0,Dine-out,Bannerghatta Road,1,Beverages,Casual Dining
Yes,No,Banashankari,450.0,Delivery,Basavanagudi,1,Burger,Delivery
Yes,No,Bellandur,550.0,Delivery,Bellandur,1,Chinese,Casual Dining
No,No,Banashankari,450.0,Dine-out,Banashankari,1,Momos,Quick Bites
Yes,No,JP Nagar,1000.0,Delivery,Bannerghatta Road,1,North Indian,Casual Dining
No,No,Banashankari,450.0,Delivery,Basavanagudi,1,Chinese,Quick Bites
Yes,No,Bellandur,600.0,Delivery,Bellandur,1,Pizza,Delivery
No,No,Sarjapur Road,700.0,Delivery,Bellandur,0,Chinese,Casual Dining
Yes,Yes,Jayanagar,1000.0,Delivery,Banashankari,1,South Indian,Casual Dining
No,Yes,Residency Road,3500.0,Dine-out,Brigade Road,1,Mangalorean,Fine Dining
No,Yes,Bellandur,1500.0,Buffet,Bellandur,1,Continental,Casual Dining
Yes,No,Bannerghatta Road,250.0,Dine-out,Bannerghatta Road,1,North Indian,Quick Bites
Yes,Yes,JP Nagar,1100.0,Drinks & nightlife,Bannerghatta Road,1,South American,Casual Dining
Yes,No,Banashankari,650.0,Delivery,Basavanagudi,1,Biryani,Delivery
Yes,Yes,Bellandur,1000.0,Delivery,Bellandur,1,Iranian,Casual Dining
Yes,No,Banashankari,800.0,Buffet,Basavanagudi,1,Italian,Casual Dining
Yes,Yes,Ulsoor,1200.0,Dine-out,Brigade Road,1,American,Bar
No,Yes,Richmond Road,1200.0,Dine-out,Brigade Road,1,North Indian,Casual Dining
No,No,Sarjapur Road,1100.0,Buffet,Bellandur,1,North Indian,Casual Dining
Yes,No,MG Road,500.0,Delivery,Brigade Road,1,Cafe,Cafe
Yes,No,Bellandur,350.0,Dine-out,Bellandur,0,Street Food,Quick Bites
No,No,Bannerghatta Road,500.0,Dine-out,Bannerghatta Road,1,Healthy Food,Cafe
No,No,Church Street,900.0,Delivery,Brigade Road,1,Cafe,Cafe
Yes,No,Frazer Town,300.0,Delivery,Brigade Road,0,Bakery,Bakery
No,No,Bellandur,450.0,Delivery,Bellandur,0,North Indian,Casual Dining
Yes,No,Bellandur,450.0,Delivery,Bellandur,0,North Indian,Quick Bites
Yes,No,Sarjapur Road,500.0,Cafes,Bellandur,1,Pizza,Cafe
No,No,Lavelle Road,1400.0,Cafes,Brigade Road,1,Bakery,Bakery
Yes,No,JP Nagar,400.0,Delivery,Bannerghatta Road,1,South Indian,Casual Dining
No,Yes,Marathahalli,2500.0,Drinks & nightlife,Bellandur,1,European,Lounge
Yes,No,Banashankari,400.0,Cafes,Banashankari,0,French,Cafe
Yes,Yes,St. Marks Road,1700.0,Dine-out,Brigade Road,1,Singaporean,Bar
No,No,Basavanagudi,550.0,Cafes,Banashankari,1,Cafe,Cafe
Yes,Yes,MG Road,1500.0,Dine-out,Brigade Road,1,Steak,Casual Dining
Yes,No,Bellandur,300.0,Delivery,Bellandur,1,North Indian,Quick Bites
Yes,No,Commercial Street,800.0,Delivery,Brigade Road,1,Nepalese,Casual Dining
Yes,No,Bannerghatta Road,400.0,Cafes,Bannerghatta Road,0,Cafe,Cafe
Yes,No,Sarjapur Road,500.0,Desserts,Bellandur,1,Beverages,Dessert Parlor
Yes,No,MG Road,700.0,Delivery,Brigade Road,1,Burger,Quick Bites
Yes,No,Basavanagudi,400.0,Delivery,Basavanagudi,0,Cafe,Cafe
Yes,No,Vasanth Nagar,550.0,Delivery,Brigade Road,1,North Indian,Casual Dining
Yes,Yes,BTM,1500.0,Dine-out,Bannerghatta Road,1,Asian,Bar
Yes,No,Lavelle Road,1600.0,Dine-out,Brigade Road,1,Italian,Casual Dining
Yes,Yes,Church Street,750.0,Cafes,Brigade Road,1,Continental,Cafe
Yes,Yes,Sarjapur Road,1400.0,Delivery,Bellandur,1,Italian,Pub
Yes,No,Bellandur,400.0,Dine-out,Bellandur,0,North Indian,Quick Bites
Yes,No,Brigade Road,800.0,Dine-out,Brigade Road,1,Pizza,Casual Dining
No,No,Lavelle Road,1400.0,Cafes,Brigade Road,1,Salad,Bakery
Yes,Yes,Ulsoor,1200.0,Delivery,Brigade Road,1,American,Casual Dining
Yes,No,Bellandur,500.0,Dine-out,Bellandur,0,Italian,Casual Dining
No,No,Ulsoor,750.0,Cafes,Brigade Road,1,Desserts,Cafe
Yes,Yes,JP Nagar,1200.0,Delivery,Bannerghatta Road,1,Chinese,Pub
Yes,No,Vasanth Nagar,550.0,Delivery,Brigade Road,1,Chinese,Casual Dining
Yes,No,Ulsoor,700.0,Delivery,Brigade Road,1,Beverages,Cafe
Yes,No,Commercial Street,350.0,Delivery,Brigade Road,1,Rolls,Quick Bites
No,No,Residency Road,550.0,Delivery,Brigade Road,1,Chinese,Casual Dining
No,No,Basavanagudi,150.0,Dine-out,Banashankari,1,South Indian,Quick Bites
Yes,No,Banashankari,800.0,Dine-out,Basavanagudi,1,Italian,Cafe
Yes,Yes,Bellandur,1000.0,Cafes,Bellandur,1,Burger,Cafe
Yes,Yes,Richmond Road,1200.0,Buffet,Brigade Road,1,North Indian,Casual Dining
Yes,Yes,Marathahalli,800.0,Delivery,Bellandur,1,Andhra,Casual Dining
Yes,No,Banashankari,800.0,Dine-out,Banashankari,1,Fast Food,Cafe
Yes,No,Bannerghatta Road,500.0,Delivery,Bannerghatta Road,1,Belgian,Kiosk
No,Yes,Ulsoor,1600.0,Buffet,Brigade Road,1,European,Casual Dining
Yes,No,Bellandur,250.0,Dine-out,Bellandur,1,North Indian,Quick Bites
Yes,No,Banashankari,650.0,Dine-out,Banashankari,1,North Indian,Casual Dining
Yes,No,Frazer Town,250.0,Delivery,Brigade Road,1,Momos,Quick Bites
No,Yes,Sarjapur Road,1500.0,Dine-out,Bellandur,1,Finger Food,Casual Dining
No,Yes,Jayanagar,950.0,Buffet,Basavanagudi,1,North Indian,Casual Dining
Yes,Yes,JP Nagar,1300.0,Delivery,Bannerghatta Road,1,Continental,Casual Dining
Yes,No,Jayanagar,650.0,Delivery,Banashankari,1,Chinese,Casual Dining
Yes,No,Basavanagudi,500.0,Delivery,Banashankari,1,Healthy Food,Quick Bites
Yes,No,Bannerghatta Road,700.0,Dine-out,Bannerghatta Road,1,North Indian,Casual Dining
Yes,Yes,Residency Road,1400.0,Dine-out,Brigade Road,1,North Indian,Casual Dining
No,No,Banashankari,400.0,Delivery,Banashankari,1,Italian,Delivery
Yes,Yes,Cunningham Road,1000.0,Delivery,Brigade Road,1,Continental,Casual Dining
Yes,No,Basavanagudi,300.0,Delivery,Basavanagudi,1,Fast Food,Quick Bites
Yes,No,Jayanagar,700.0,Dine-out,Basavanagudi,0,North Indian,Casual Dining
Yes,No,Ulsoor,500.0,Cafes,Brigade Road,1,Sandwich,Cafe
Yes,No,Church Street,650.0,Dine-out,Brigade Road,1,Italian,Cafe
Yes,No,Church Street,650.0,Dine-out,Brigade Road,1,Steak,Cafe
Yes,No,Jayanagar,500.0,Dine-out,Basavanagudi,1,Salad,Casual Dining
Yes,Yes,Shivajinagar,1300.0,Delivery,Brigade Road,1,North Indian,Casual Dining
Yes,Yes,Sarjapur Road,700.0,Dine-out,Bellandur,1,Maharashtrian,Casual Dining
Yes,Yes,Banashankari,800.0,Delivery,Basavanagudi,1,Thai,Casual Dining
Yes,Yes,Marathahalli,1500.0,Drinks & nightlife,Bellandur,1,North Indian,Bar
Yes,No,Banashankari,650.0,Delivery,Banashankari,1,Biryani,Delivery
Yes,Yes,Cunningham Road,1700.0,Delivery,Brigade Road,1,Chinese,Casual Dining
No,No,Banashankari,800.0,Dine-out,Basavanagudi,1,North Indian,Casual Dining
Yes,Yes,JP Nagar,1200.0,Dine-out,Bannerghatta Road,1,Chinese,Bar
Yes,Yes,MG Road,1700.0,Cafes,Brigade Road,1,American,Casual Dining
No,Yes,JP Nagar,800.0,Buffet,Bannerghatta Road,1,North Indian,Casual Dining
No,No,Residency Road,1500.0,Dine-out,Brigade Road,1,Continental,Casual Dining
Yes,Yes,Sarjapur Road,1400.0,Buffet,Bellandur,1,North Indian,Casual Dining
No,Yes,Ulsoor,2800.0,Dine-out,Brigade Road,1,American,Fine Dining
Yes,No,Church Street,1300.0,Delivery,Brigade Road,1,European,Lounge
Yes,No,JP Nagar,600.0,Dine-out,Bannerghatta Road,0,Mughlai,Casual Dining
No,No,Bannerghatta Road,850.0,Dine-out,Bannerghatta Road,0,Chinese,Casual Dining
Yes,No,Basavanagudi,600.0,Delivery,Banashankari,0,Cafe,Cafe
Yes,No,Ulsoor,1300.0,Dine-out,Brigade Road,1,Seafood,Casual Dining
Yes,No,Jayanagar,700.0,Delivery,Basavanagudi,0,Continental,Casual Dining
Yes,Yes,JP Nagar,1200.0,Delivery,Basavanagudi,1,Continental,Casual Dining
Yes,No,Banashankari,650.0,Dine-out,Banashankari,1,Andhra,Casual Dining
No,No,JP Nagar,800.0,Dine-out,Bannerghatta Road,0,Desserts,Dessert Parlor
Yes,No,Jayanagar,500.0,Delivery,Basavanagudi,1,Continental,Casual Dining
Yes,Yes,Bellandur,1800.0,Dine-out,Bellandur,1,American,Casual Dining
Yes,No,Bellandur,600.0,Delivery,Bellandur,1,Cafe,Cafe
Yes,Yes,HSR,1200.0,Delivery,Bellandur,1,Mexican,Bar
